<http://ceur-ws.org/Vol-1534/>;;Social Network Analysis using Formal Concept Analysis 2015;;10-Dec-2015;;Proceedings of the Workshop on Social Network Analysis using Formal Concept Analysis (SNAFCA 2015);;Nerja (Malaga), Spain, June 25, 2015
<http://ceur-ws.org/Vol-1533/>;;Decision Making and Recommender Systems 2015;;10-Dec-2015;;Proceedings of the 2nd International Workshop on Decision Making and Recommender Systems (DMRS 2015);;Bolzano, Italy, October 22-23, 2015
<http://ceur-ws.org/Vol-1532/>;;Multilingual Semantic Web 2015;;09-Dec-2015;;Proceedings of the 4th Workshop on the Multilingual Semantic Web (MSW4);;Portorož, Slovenia, June 1, 2015
<http://ceur-ws.org/Vol-1531/>;;Doctoral Symposium at MoDELS 2015;;9-Dec-2015;;Proceedings of the Doctoral Symposium at the 18th ACM/IEEE International;;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1530/>;;Verification of Model Transformations 2015;;8-Dec-2015;;Proceedings of the Fourth International Workshop on Verification of Model Transformations (VOLT 2015);;L'Aquila, Italy, July 23, 2015
<http://ceur-ws.org/Vol-1529/>;;Semantic Digital Archives 2015;;16-Dec-2015;;Proceedings of the 5th International Workshop on Semantic Digital Archives (SDA 2015);;Poznan, Poland, September 18, 2015
<http://ceur-ws.org/Vol-1528/>;;AmI-2015 Adjunct Proceedings;;7-Dec-2015;;Proceedings of Workshop and Poster Papers of the European Conference on Ambient Intelligence 2015 (AmI-Adj-2015);;Athens, Greece, November 11-13, 2015
<http://ceur-ws.org/Vol-1527/>;;Data-driven Process Discovery and Analysis 2015;;6-Dec-2015;;Proceedings of the 5th International Symposium on Data-driven Process Discovery and Analysis (SIMPDA 2015);;Vienna, Austria, December 9-11, 2015
<http://ceur-ws.org/Vol-1526/>;;ECML/PKDD 2015 Discovery Challenges;;07-Dec-2015;;Proceedings of the ECML/PKDD 2015 Discovery Challenges;;Porto, Portugal, September 7-11, 2015
<http://ceur-ws.org/Vol-1525/>;;Symposium on Programming Languages and Software Tools 2015;;14-Dec-2015;;Proceedings of the 14th Symposium on Programming Languages and Software Tools (SPLST'15);;Tampere, Finland, Oct 9-10, 2015
<http://ceur-ws.org/Vol-1524/>;;Transformation Tool Contest 2015;;01-Dec-2015;;Proceedings of the 8th Transformation Tool Contest (TTC 2015);;L'Aquila, Italy, July 24, 2015
<http://ceur-ws.org/Vol-1523/>;;Semantic Technology for Intelligence, Defense, and Security 2015;;09-Dec-2015;;Proceedings of the 10th Conference on Semantic Technology for Intelligence, Defense, and Security (STIDS 2015);;Fairfax VA, USA, November 18-20, 2015
<http://ceur-ws.org/Vol-1522/>;;Human Factors in Modeling 2015;;1-Dec-2015;;Proceedings of the First International Workshop on Human Factors in Modeling (HuFaMo 2015);;Ottawa, Canada, September 28, 2015
<http://ceur-ws.org/Vol-1521/>;;Mining Ubiquitous and Social Environments 2015;;11-Dec-2015;;Proceedings of the 6th International Workshop on Mining Ubiquitous and Social Environments (MUSE 2015);;Porto, Portugal, September 7, 2015
<http://ceur-ws.org/Vol-1520/>;;ICCBR 2015 Workshops;;29-Nov-2015;;Workshop Proceedings from The Twenty-Third International Conference on Case-Based Reasoning (ICCBR-WS 2015);;Frankfurt, Germany, September 28-30, 2015
<http://ceur-ws.org/Vol-1519/>;;APSEC 2015 Workshops: QuASoQ, WAWSE & CMCE;;25-Nov-2015;;Joint Proceedings of the;;New Delhi, India, December 1, 2015
<http://ceur-ws.org/Vol-1518/>;;Visual Aspects of Learning Analytics 2015;;24-Nov-2015;;Proceedings of the First International Workshop on Visual Aspects of Learning Analytics (VISLA 2015);;Poughkeepsie, NY, USA, March 16-20, 2015
<http://ceur-ws.org/Vol-1517/>;;Joint Ontology Workshops 2015;;24-Nov-2015;;Proceedings of the Joint Ontology Workshops (JOWO 2015);;Buenos Aires, Argentina, July 25-27, 2015
<http://ceur-ws.org/Vol-1516/>;;Workshop on Interactive Content Consumption 2015;;19-Nov-2015;;Proceedings of the 3rd International Workshop on Interactive Content Consumption (WSICC 2015);;Brussels, Belgium, June 3, 2015
<http://ceur-ws.org/Vol-1515/>;;International Conference on Biomedical Ontology 2015;;18-Nov-2015;;Proceedings of the International Conference on Biomedical Ontology (ICBO 2015);;Lisbon, Portugal, July 27-30, 2015
<http://ceur-ws.org/Vol-1514/>;;Model-Driven Engineering, Verification and Validation 2015;;17-Nov-2015;;Proceedings of the 12th Workshop on Model-Driven Engineering, Verification and Validation (MoDeVVa 2015);;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1513/>;;Parallel, Distributed, and Cloud Computing for Young Scientists 2015;;3-Dec-2015;;Proceedings of the 1st Ural Workshop on Parallel, Distributed, and Cloud Computing for Young Scientists (Ural-PDC 2015);;Yekaterinburg, Russia, November 17, 2015
<http://ceur-ws.org/Vol-1512/>;;OCL and Textual Modeling: Tools and Textual Model Transformations 2015;;13-Nov-2015;;Proceedings of the 15th International Workshop on OCL and Textual Modeling (OCL 2015);;Ottawa, Canada, September 28, 2015
<http://ceur-ws.org/Vol-1511/>;;MODELS 2015 Workshops: GEMOC & MPM;;13-Nov-2015;;Joint Proceedings of the 3rd International Workshop on the Globalization;;Ottawa, Canada, September 28, 2015
<http://ceur-ws.org/Vol-1510/>;;Artificial Intelligence and Cognition 2015;;12-Nov-2015;;Proceedings of the 3rd International Workshop on Artificial Intelligence and Cognition (AIC 2015);;Turin, Italy, September 28-29, 2015
<http://ceur-ws.org/Vol-1509/>;;Intelligent Techniques At LIbraries and Archives 2015;;12-Nov-2015;;Proceedings of 1st AI*IA Workshop on Intelligent Techniques At LIbraries and Archives (IT@LIA 2015);;Ferrara, Italy, September 22, 2015
<http://ceur-ws.org/Vol-1508/>;;Joint Proceedings of ACES-MB and WUCOR 2015;;11-Nov-2015;;Joint Proceedings of the 8th International Workshop on Model-based;;Ottawa, Canada, September 28, 2015
<http://ceur-ws.org/Vol-1507/>;;Principles of Diagnosis 2015;;11-Nov-2015;;Proceedings of the 26th International Workshop on Principles of Diagnosis (DX-2015);;Paris, France, August 31 - September 3, 2015
<http://ceur-ws.org/Vol-1506/>;;Mobile Deployment of Semantic Technologies 2015;;09-Nov-2015;;Proceedings of the 1st International Workshop on Mobile Deployment of Semantic Technologies (MoDeST 2015);;Bethlehem, Pennsylvania, USA, October 11, 2015
<http://ceur-ws.org/Vol-1505/>;;Multi-Level Modelling 2015;;9-Nov-2015;;Proceedings of the 2nd International Workshop on Multi-Level Modelling (MULTI-2015);;Ottawa, Canada, September 27-28, 2015
<http://ceur-ws.org/Vol-1504/>;;UAI 2015 Workshop on Advances in Causal Inference;;08-Nov-2015;;Proceedings of the UAI 2015 Workshop on Advances in Causal Inference (UAI2015-ACI);;Amsterdam, The Netherlands, July 16, 2015
<http://ceur-ws.org/Vol-1503/>;;ACM Student Research Competition MODELS 2015;;6-Nov-2015;;Proceedings of the ACM Student Research Competition at MODELS 2015 (MODELS-SRC 2015);;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1502/>;;International Conference BOINC:FAST 2015;;6-Nov-2015;;Proceedings of the Second International Conference BOINC-based High;;Petrozavodsk, Russia, September 14-18, 2015
<http://ceur-ws.org/Vol-1501/>;;Diversity++ Workshop 2015;;5-Nov-2015;;Proceedings of the 1st International Diversity++ Workshop (Diversity++ 2015);;Bethlehem, Pennsylvania, USA, October 12, 2015
<http://ceur-ws.org/Vol-1500/>;;Analysis of Model Transformations 2015;;05-Nov-2015;;Proceedings of the 4th Workshop on the Analysis of Model Transformations (AMT 2015);;Ottawa, Canada, September 28, 2015
<http://ceur-ws.org/Vol-1499/>;;STAF 2015 Doctoral Symposium;;3-Nov-2015;;Proceedings of the Doctoral Symposium at Software Technologies: Applications and Foundations 2015 Conference (STAF-DS 2015);;L'Aquila, Italy, July 20, 2015
<http://ceur-ws.org/Vol-1498/>;;Conference on Information and Communication Technologies in Agriculture, Food and Environment 2015;;3-Nov-2015;;Proceedings of the 7th International Conference on Information and;;Kavala, Greece, September 17-20, 2015
<http://ceur-ws.org/Vol-1497/>;;Short and Doctoral Consortium Papers at PoEM 2015;;2-Nov-2015;;Proceedings of Short and Doctoral Consortium Papers Presented at the 8th;;Valenica, Spain, November 10-12, 2015
<http://ceur-ws.org/Vol-1496/>;;Automatische Bewertung von Programmieraufgaben 2015;;31-Oct-2015;;Proceedings of the Second Workshop "Automatische Bewertung von Programmieraufgaben" (ABP 2015);;Wolfenbüttel, Germany, November 6, 2015
<http://ceur-ws.org/Vol-1495/>;;Terminology and Artificial Intelligence 2015;;31-Oct-2015;;Proceedings of the 11th International Conference on Terminology and Artificial Intelligence (TIA 2015);;Universidad de Granada, Granada, Spain, November 4-6, 2015
<http://ceur-ws.org/Vol-1494/>;;International Workshop on Semantic Technologies 2015;;30-Oct-2015;;Proceedings of the 2nd International Workshop on Semantic Technologies (IWOST2);;Bangkok, Thailand, November 2-3, 2015
<http://ceur-ws.org/Vol-1493/>;;Italian Workshop on Planning and Scheduling 2015;;02-Nov-2015;;Proceedings of the 6th Italian Workshop on Planning and Scheduling (IPS 2015);;Ferrara, Italy, September 22, 2015
<http://ceur-ws.org/Vol-1492/>;;Concurrency, Specification and Programming 2015;;28-Oct-2015;;Proceedings of the 24th International Workshop on Concurrency, Specification and Programming (CS&P 2015);;Rzeszow, Poland, September 28-30, 2015
<http://ceur-ws.org/Vol-1491/>;;Doctoral Consortium at ISWC 2015;;28-Oct-2015;;Proceedings of the Doctoral Consortium at the 14th International Semantic Web Conference (ISWC 2015);;Bethlehem, Pennsylvania, USA, October 12, 2015
<http://ceur-ws.org/Vol-1490/>;;Information Technology and Nanotechnology 2015;;12-Nov-2015;;Proceedings of International Conference Information Technology and Nanotechnology (ITNT-2015);;Samara, Russia, June 29 - July 1, 2015
<http://ceur-ws.org/Vol-1489/>;;Knowledge Discovery on the WEB 2015;;26-Oct-2015;;Proceedings of the 1st International Workshop on Knowledge Discovery on the WEB (KDWEB 2015);;Cagliari, Italy, September 3-5, 2015
<http://ceur-ws.org/Vol-1488/>;;Joint Proceedings of SSN-TC and OrdRing 2015;;25-Oct-2015;;Joint Proceedings of the 1st Joint International Workshop on Semantic;;Bethlehem, Pennsylvania, United States, October 11th and 12th, 2015
<http://ceur-ws.org/Vol-1487/>;;Modelling in Automotive Software Engineering 2015;;24-Oct-2015;;Proceedings of the International Workshop on Modelling in Automotive Software Engineering (MASE 2015);;Ottawa, Canada. September 27, 2015
<http://ceur-ws.org/Vol-1486/>;;ISWC 2015 Posters & Demonstrations Track;;03-Dec-2015;;Proceedings of the ISWC 2015 Posters & Demonstrations Track;;Bethlehem, PA, USA, October 11, 2015
<http://ceur-ws.org/Vol-1485/>;;AI*IA 2015 Doctoral Consortium;;23-Oct-2015;;Proceedings of the Doctoral Consortium (AI*IA 2015 DC);;Ferrara, Italy, September 23-24, 2015
<http://ceur-ws.org/Vol-1484/>;;Path to Success: Failures in rEal Robots 2015;;23-Oct-2015;;Proceedings of the workshop the Path to Success: Failures in rEal Robots (FinE-R 2015);;Hamburg, Germany, October 1, 2015
<http://ceur-ws.org/Vol-1483/>;;Turkish National Software Engineering Symposium 2015;;23-Oct-2015;;Proceedings of the 9th Turkish National Software Engineering Symposium (UYMS 2015);;Yasar University, Izmir, Turkey, September, 9-11, 2015
<http://ceur-ws.org/Vol-1482/>;;Russian Supercomputing Days 2015;;22-Oct-2015;;Proceedings of the 1st Russian Conference on Supercomputing (RuSCDays 2015);;Moscow, Russia, September 28-29, 2015
<http://ceur-ws.org/Vol-1481/>;;Posters&Demos@SEMANTiCS 2015 and DSci15 Workshop;;03-Nov-2015;;Joint Proceedings of the Posters and Demos Track of 11th International;;Vienna, Austria, September 15-17, 2015
<http://ceur-ws.org/Vol-1480/>;;Quality of Information and Communications Technology 1994;;16-Oct-2015;;Proceedings of the 1st International Conference on the Quality of Information and Communications Technology (QUATIC 1994);;Lisboa, Portugal, May 27, 1994
<http://ceur-ws.org/Vol-1479/>;;Uncertainty Reasoning for the Semantic Web 2015;;14-Oct-2015;;Proceedings of the 11th International Workshop on Uncertainty Reasoning for the Semantic Web (URSW 2015);;Bethlehem, USA, October 12, 2015
<http://ceur-ws.org/Vol-1478/>;;Information Management and Big Data 2015;;14-Oct-2015;;Proceedings of the 2nd Annual International Symposium on Information Management and Big Data (SIMBig 2015);;Cusco, Peru, September 2-4, 2015
<http://ceur-ws.org/Vol-1477/>;;CURAC Annual Meeting 2013;;14-Oct-2015;;Proceedings of the CURAC (Computer- und Roboterassistierte Chirurgie) Annual Meeting (CURAC 2013);;Innsbruck, Austria, November 28-30, 2013
<http://ceur-ws.org/Vol-1476/>;;CURAC Annual Meeting 2011;;14-Oct-2015;;Proceedings of the CURAC (Computer- und Roboterassistierte Chirurgie) Annual Meeting (CURAC 2011);;Magdeburg, Germany, September 15-16, 2011
<http://ceur-ws.org/Vol-1475/>;;CURAC Annual Meeting 2010;;14-Oct-2015;;Proceedings of the CURAC (Computer- und Roboterassistierte Chirurgie) Annual Meeting (CURAC 2010);;Düsseldorf, Germany, November 18-19, 2010
<http://ceur-ws.org/Vol-1474/>;;Models@run.time 2015;;16-Oct-2015;;Proceedings of the 10th International Workshop on Models@run.time (MRT 2015);;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1473/>;;Artificial Intelligence and Design 2015;;13-Oct-2015;;Proceedings of the 1st Workshop on Artificial Intelligence and Design (AIDE 2015);;Ferrara, Italy, September 22, 2015
<http://ceur-ws.org/Vol-1472/>;;Intelligent Exploration of Semantic Data 2015;;17-Oct-2015;;Proceedings of the 4th International Workshop on Intelligent Exploration of Semantic Data (IESD 2015);;Bethlehem, USA, October 12, 2015
<http://ceur-ws.org/Vol-1471/>;;Quality of Information and Communications Technology 1995;;09-Oct-2015;;Proceedings of the 2nd International Conference on the Quality of Information and Communications Technology (QUATIC 1995);;Lisboa, Portugal, December 4-6, 1995
<http://ceur-ws.org/Vol-1470/>;;Flexible Model Driven Engineering 2015;;13-Oct-2015;;Proceedings of the Workshop on Flexible Model Driven Engineering (FlexMDE 2015);;Ottawa, Canada, September 29, 2015
<http://ceur-ws.org/Vol-1469/>;;Doctoral Symposium on Empirical Software Engineering 2015;;09-Oct-2015;;Proceedings of the 13th International Doctoral Symposium on Empirical Software Engineering (IDoESE 2015);;Beijing, China, October 21, 2015
<http://ceur-ws.org/Vol-1468/>;;Big Data in Health Analytics 2015;;09-Oct-2015;;Proceedings of the Scientific Stream at Big Data in Health Analytics 2015 (BigData 2015);;Sydney, Australia, October 20-21, 2015
<http://ceur-ws.org/Vol-1467/>;;Linked Data for Information Extraction 2015;;09-Oct-2015;;Proceedings of the Third International Workshop on Linked Data for Information Extraction (LD4IE2015);;Bethlehem, Pennsylvania, USA, October 12, 2015
<http://ceur-ws.org/Vol-1466/>;;Concept Lattices and Their Applications 2015;;09-Oct-2015;;Proceedings of the 12th International Conference on Concept Lattices and Their Applications (CLA 2015);;Clermont-Ferrand, France, October 13-16, 2015
<http://ceur-ws.org/Vol-1465/>;;Awareness and Reflection in Technology Enhanced Learning 2015;;09-Oct-2015;;Proceedings of the 5th Workshop on Awareness and Reflection in Technology Enhanced Learning (ARTEL 2015);;Toledo, Spain, September 15, 2015
<http://ceur-ws.org/Vol-1464/>;;Embed With Linux 2015;;09-Oct-2015;;Proceedings of the embedded operating system workshop - Embed With Linux 2015 (EWiLi 2015);;Amsterdam, The Netherlands, October 8, 2015
<http://ceur-ws.org/Vol-1463/>;;Model-Driven Engineering for Component-Based Software Systems 2015;;09-Oct-2015;;Proceedings of the 2nd International Workshop on Model-Driven Engineering for Component-Based Software Systems (ModComp 2015);;Ottawa, Canada, September 28, 2015
<http://ceur-ws.org/Vol-1462/>;;Doctoral Consortium of CHItaly 2015;;8-Oct-2015;;Proceedings of the CHItaly 2015 Doctoral Consortium (DC@CHItaly 2015);;Rome, Italy, September 28, 2015
<http://ceur-ws.org/Vol-1461/>;;Workshop on Ontology and Semantic Web Patterns 2015;;6-Oct-2015;;Proceedings of the 6th Workshop on Ontology and Semantic Web Patterns (WOP 2015);;Bethlehem, Pensylvania, USA, October 11, 2015
<http://ceur-ws.org/Vol-1460/>;;Quality of Information and Communications Technology 1998;;6-Oct-2015;;Proceedings of the 3rd International Conference on the Quality of Information and Communications Technology (QUATIC 1998);;Guimarães, Portugal, November 4-6, 1998
<http://ceur-ws.org/Vol-1459/>;;Italian Conference on Computational Logic 2015;;29-Sep-2015;;Proceedings of the 30th Italian Conference on Computational Logic (CILC 2015);;Genova, Italy, July 1-3, 2015
<http://ceur-ws.org/Vol-1458/>;;LWA Workshops: KDML, FGWM, IR, FGDB 2015;;25-Sep-2015;;Proceedings of the LWA 2015 Workshops: KDML, FGWM, IR, and FGDB (LWA 2015);;Trier, Germany, October 7-9, 2015
<http://ceur-ws.org/Vol-1457/>;;Scalable Semantic Web Knowledge Base Systems 2015;;24-Sep-2015;;Proceedings of the 11th International Workshop on Scalable Semantic Web Knowledge Base Systems (SSWS 2015);;Bethlehem, PA, USA, October 11, 2015
<http://ceur-ws.org/Vol-1456/>;;Visualizations and User Interfaces for Ontologies and Linked Data 2015;;23-Sep-2015;;Proceedings of the International Workshop on Visualizations and User Interfaces for Ontologies and Linked Data (VOILA 2015);;Bethlehem, Pennsylvania, USA, October 11, 2015
<http://ceur-ws.org/Vol-1455/>;;Meta-Learning and Algorithm Selection 2015;;22-Sep-2015;;Proceedings of the 2015 International Workshop on Meta-Learning and Algorithm Selection (MetaSel 2015);;Porto, Portugal, September 7, 2015
<http://ceur-ws.org/Vol-1454/>;;The Student Track of RAMiCS 2015;;24-Sep-2015;;Proceedings of the Student Track of the 15th International Conference on;;Braga, Portugal, September 28 - October 1, 2015
<http://ceur-ws.org/Vol-1453/>;;Configuration Workshop 2015;;28-Sep-2015;;Proceedings of the 17th International Configuration Workshop (ConfWS 2015);;Vienna, Austria, September 10-11, 2015
<http://ceur-ws.org/Vol-1452/>;;Supplementary Proceedings of AIST 2015;;15-Oct-2015;;Supplementary Proceedings of the 4th International Conference on Analysis of Images, Social Networks and Texts (AIST-SUP 2015);;Yekaterinburg, Russia, April 9-11, 2015
<http://ceur-ws.org/Vol-1451/>;;Experimental Evaluation of Algorithms for Solving Problems with Combinatorial Explosion 2015;;20-Sep-2015;;Proceedings of the 22nd RCRCA International Workshop on Experimental;;Ferrara, Italy, September 22, 2015
<http://ceur-ws.org/Vol-1450/>;;Making as a Pathway to Foster Joyful Engagement and Creativity in Learning 2015;;27-Sep-2015;;Proceedings of the Workshop of Making as a Pathway to Foster Joyful Engagement and Creativity in Learning (Make2Learn 2015);;Trondheim, Norway, September 29, 2015
<http://ceur-ws.org/Vol-1449/>;;Argentine Symposium on Ontologies and their Applications 2015;;17-Sep-2015;;Proceedings of the 1st Argentine Symposium on Ontologies and their Applications (SAOA 2015);;Rosario, Argentina, September 2-3, 2015
<http://ceur-ws.org/Vol-1448/>;;New Trends on Content-Based Recommender Systems 2015;;15-Sep-2015;;Proceedings of the 2nd Workshop on New Trends on Content-Based Recommender Systems (CBRecSys 2015);;Vienna, Austria, September 16-20, 2015
<http://ceur-ws.org/Vol-1447/>;;High-Level Declarative Stream Processing 2015;;14-Sep-2015;;Proceedings of the 1st Workshop on High-Level Declarative Stream Processing (HiDeSt 2015);;Dresden, Germany, September 22, 2015
<http://ceur-ws.org/Vol-1446/>;;Workshops Proceedings of EDM 2015;;14-Sep-2015;;Workshops Proceedings of EDM 2015 (EDM-WS 2015);;Madrid, Spain, June 26 - 29, 2015
<http://ceur-ws.org/Vol-1445/>;;Tweet Translation Workshop 2015;;11-Sep-2015;;Proceedings of the Tweet Translation Workshop (TweetMT 2015);;Alicante, Spain, September 15th, 2015
<http://ceur-ws.org/Vol-1444/>;;KI 2015 Workshop on Formal and Cognitive Reasoning;;09-Sep-2015;;Proceedings of the 5th Workshop on Dynamics of Knowledge and Belief;;Dresden, Germany, September 22, 2015
<http://ceur-ws.org/Vol-1443/>;;DeLFI Workshops 2015;;8-Sep-2015;;Proceedings of DeLFI Workshops 2015 (DeLFI-WS 2015);;Munich, Germany, September 1, 2015
<http://ceur-ws.org/Vol-1442/>;;Brazilian Ontology Research Seminar 2015;;07-Sep-2015;;Proceedings of the Brazilian Seminar on Ontologies (ONTOBRAS 2015);;São Paulo, Brazil, September 8-11, 2015
<http://ceur-ws.org/Vol-1441/>;;Poster Proceedings of ACM RecSys 2015;;7-Sep-2015;;Poster Proceedings of the 9th ACM Conference on Recommender Systems (Poster-RecSys 2015);;Vienna, Austria, September 16, 2015
<http://ceur-ws.org/Vol-1440/>;;Joint Workshop CPCR+ITWP at IJCAI 2015;;4-Sep-2015;;Proceedings of the IJCAI 2015 Joint Workshop on Constraints and;;Buenos Aires, Argentina, July 27, 2015
<http://ceur-ws.org/Vol-1439/>;;BPM Industry Track 2015;;5-Sep-2015;;Proceedings of the Industry Track at the 13th International Conference on Business Process Management 2015 (BPM-Industry 2015);;Innsbruck, Austria, September 2015
<http://ceur-ws.org/Vol-1438/>;;Interfaces and Human Decision Making for Recommender Systems 2015;;02-Sep-2015;;Proceedings of the Joint Workshop on Interfaces and Human Decision Making for Recommender Systems (IntRS'15);;Vienna, Austria, September 19, 2015
<http://ceur-ws.org/Vol-1437/>;;Patent Mining and Its Applications 2015;;01-Sep-2015;;Proceedings of the Second International Workshop on Patent Mining and Its Applications (IPaMin 2015);;Beijing, China, May 27-28, 2015
<http://ceur-ws.org/Vol-1436/>;;Multimedia Benchmark Workshop 2015;;30-Sep-2015;;Working Notes Proceedings of the MediaEval 2015 Workshop;;Wurzen, Germany, September 14-15, 2015
<http://ceur-ws.org/Vol-1435/>;;Negative or Inconclusive Results in Semantic Web 2015;;31-Aug-2015;;Proceedings of the Workshop on Negative or Inconclusive Results in Semantic Web (NoISE 2015);;Portoroz, Slovenia, June 1st, 2015
<http://ceur-ws.org/Vol-1434/>;;Formal Concept Analysis and Applications 2015;;31-Aug-2015;;Proceedings of the International Workshop on Formal Concept Analysis and Applications 2015 (FCA&A 2015);;Nerja, Málaga, Spain, June 23-26, 2015
