Vol-1485;;AI*IA 2015 Doctoral Consortium;;23-Oct-2015
Vol-1484;;Path to Success: Failures in rEal Robots 2015;;23-Oct-2015
Vol-1483;;Turkish National Software Engineering Symposium 2015;;23-Oct-2015
Vol-1482;;Russian Supercomputing Days 2015;;22-Oct-2015
Vol-1481;;Posters&Demos@SEMANTiCS 2015 and DSci15 Workshop;;03-Nov-2015
Vol-1480;;Quality of Information and Communications Technology 1994;;16-Oct-2015
Vol-1479;;Uncertainty Reasoning for the Semantic Web 2015;;14-Oct-2015
Vol-1478;;Information Management and Big Data 2015;;14-Oct-2015
Vol-1477;;CURAC Annual Meeting 2013;;14-Oct-2015
Vol-1476;;CURAC Annual Meeting 2011;;14-Oct-2015
Vol-1475;;CURAC Annual Meeting 2010;;14-Oct-2015
Vol-1474;;Models@run.time 2015;;16-Oct-2015
Vol-1473;;Artificial Intelligence and Design 2015;;13-Oct-2015
Vol-1472;;Intelligent Exploration of Semantic Data 2015;;17-Oct-2015
Vol-1471;;Quality of Information and Communications Technology 1995;;09-Oct-2015
Vol-1470;;Flexible Model Driven Engineering 2015;;13-Oct-2015
Vol-1469;;Doctoral Symposium on Empirical Software Engineering 2015;;09-Oct-2015
Vol-1468;;Big Data in Health Analytics 2015;;09-Oct-2015
Vol-1467;;Linked Data for Information Extraction 2015;;09-Oct-2015
Vol-1466;;Concept Lattices and Their Applications 2015;;09-Oct-2015
Vol-1465;;Awareness and Reflection in Technology Enhanced Learning 2015;;09-Oct-2015
Vol-1464;;Embed With Linux 2015;;09-Oct-2015
Vol-1463;;Model-Driven Engineering for Component-Based Software Systems 2015;;09-Oct-2015
Vol-1462;;Doctoral Consortium of CHItaly 2015;;8-Oct-2015
Vol-1461;;Workshop on Ontology and Semantic Web Patterns 2015;;6-Oct-2015
Vol-1460;;Quality of Information and Communications Technology 1998;;6-Oct-2015
Vol-1459;;Italian Conference on Computational Logic 2015;;29-Sep-2015
Vol-1458;;LWA Workshops: KDML, FGWM, IR, FGDB 2015;;25-Sep-2015
Vol-1457;;Scalable Semantic Web Knowledge Base Systems 2015;;24-Sep-2015
Vol-1456;;Visualizations and User Interfaces for Ontologies and Linked Data 2015;;23-Sep-2015
Vol-1455;;Meta-Learning and Algorithm Selection 2015;;22-Sep-2015
Vol-1454;;The Student Track of RAMiCS 2015;;24-Sep-2015
Vol-1453;;Configuration Workshop 2015;;28-Sep-2015
Vol-1452;;Supplementary Proceedings of AIST 2015;;15-Oct-2015
Vol-1451;;Experimental Evaluation of Algorithms for Solving Problems with Combinatorial Explosion 2015;;20-Sep-2015
Vol-1450;;Making as a Pathway to Foster Joyful Engagement and Creativity in Learning 2015;;27-Sep-2015
Vol-1449;;Argentine Symposium on Ontologies and their Applications 2015;;17-Sep-2015
Vol-1448;;New Trends on Content-Based Recommender Systems 2015;;15-Sep-2015
Vol-1447;;High-Level Declarative Stream Processing 2015;;14-Sep-2015
Vol-1446;;Workshops Proceedings of EDM 2015;;14-Sep-2015
Vol-1445;;Tweet Translation Workshop 2015;;11-Sep-2015
Vol-1444;;KI 2015 Workshop on Formal and Cognitive Reasoning;;09-Sep-2015
Vol-1443;;DeLFI Workshops 2015;;8-Sep-2015
Vol-1442;;Brazilian Ontology Research Seminar 2015;;07-Sep-2015
Vol-1441;;Poster Proceedings of ACM RecSys 2015;;7-Sep-2015
Vol-1440;;Joint Workshop CPCR+ITWP at IJCAI 2015;;4-Sep-2015
Vol-1439;;BPM Industry Track 2015;;5-Sep-2015
Vol-1438;;Interfaces and Human Decision Making for Recommender Systems 2015;;02-Sep-2015
Vol-1437;;Patent Mining and Its Applications 2015;;01-Sep-2015
Vol-1436;;Multimedia Benchmark Workshop 2015;;30-Sep-2015
Vol-1435;;Negative or Inconclusive Results in Semantic Web 2015;;31-Aug-2015
Vol-1434;;Formal Concept Analysis and Applications 2015;;31-Aug-2015
Vol-1433;;Technical Communications of ICLP 2015;;31-Aug-2015
Vol-1432;;Workshops Proceedings of AIED 2015;;29-Aug-2015
Vol-1431;;Verification and Evaluation of Computer and Communication Systems 2015;;02-Sep-2015
Vol-1430;;What can FCA do for Artificial Intelligence 2015;;25-Aug-2015
Vol-1429;;CURAC Annual Meeting 2012;;26-Aug-2015
Vol-1428;;Workshop on Biomedical Data Mining, Modeling, and Semantic Integration 2015;;4-Sep-2015
Vol-1427;;Balkan Conference on Informatics: Advances in ICT 2015;;21-Aug-2015
Vol-1426;;Consuming Linked Data 2015;;24-Aug-2015
Vol-1425;;Advanced Analytics and Learning on Temporal Data 2015;;21-Aug-2015
Vol-1424;;Fuzzy Logic in Artificial Intelligence 2015;;18-Aug-2015
Vol-1423;;Defeasible and Ampliative Reasoning 2015;;14-Aug-2015
Vol-1422;;Information Technologies - Applications and Theory 2015;;24-Aug-2015
Vol-1421;;Social Personalisation & Search 2015;;20-Aug-2015
Vol-1420;;BIR-WS 2015;;14-Aug-2015
Vol-1419;;EAPCogSci 2015;;07-Aug-2015
Vol-1418;;BPM Demo Session 2015;;05-Aug-2015
Vol-1417;;Rule Challenge and Doctoral Consortium @ RuleML 2015;;07-Aug-2015
Vol-1416;;RE4SuSy 2015;;04-Aug-2015
Vol-1415;;CAISE'2015 Doctoral Consortium;;02-Aug-2015
Vol-1414;;IWEI 2015 Workshops;;01-Aug-2015
Vol-1413;;Probabilistic Logic Programming 2015;;31-Jul-2015
Vol-1412;;Bridging the Gap between Human and Automated Reasoning 2015;;27-Jul-2015
Vol-1411;;Orchestrated Collaborative Classroom Workshop 2015;;25-Jul-2015
Vol-1410;;Interactions between Data Mining and Natural Language Processing 2015;;14-Aug-2015
Vol-1409;;Linked Data on the Web 2015;;31-Jul-2015
Vol-1408;;Complementary Proceedings of the Workshops TEE, CoBI, and XOC-BPM at IEEE-COBI 2015;;24-Jul-2015
Vol-1407;;AI and Feedback 2015;;22-Jul-2015
Vol-1406;;Scalable Model Driven Engineering 2015;;15-Jul-2015
Vol-1405;;Location-Aware Recommendations 2015;;03-Aug-2015
Vol-1404;;Italian Information Retrieval Workshop 2015;;20-Jul-2015
Vol-1403;;Graph Computation Models 2015;;16-Jul-2015
Vol-1402;;iStar 2015;;19-Aug-2015
Vol-1401;;Terra Cognita - Semantic Sensor Networks 2014;;30-Jul-2015
Vol-1400;;Projects Showcase @ STAF 2015;;15-Jul-2015
Vol-1399;;Biographical Data in a Digital World 2015;;15-Jul-2015
Vol-1398;;Social Influence Analysis 2015;;14-Jul-2015
Vol-1397;;Workshop on Sentiment Analysis at SEPLN 2015;;31-Aug-2015
Vol-1396;;Bidirectional Transformations 2015;;06-Jul-2015
Vol-1395;;Making Sense of Microposts 2015;;13-Jul-2015
Vol-1394;;II Congreso de la Sociedad Española para las Ciencias del Videojuego 2015;;03-Jul-2015
Vol-1393;;Graph Search and Beyond 2015;;28-Jul-2015
Vol-1392;;Mining Urban Data 2015;;30-Jun-2015
Vol-1391;;CLEF2015 Working Notes;;05-Aug-2015
Vol-1390;;VISCERAL Anatomy3 Organ Segmentation Challenge 2015;;29-Jun-2015
Vol-1389;;Artificial Intelligence and Assistive Medicine 2015;;26-Jun-2015
Vol-1388;;UMAP 2015 Extended Proceedings;;23-Jun-2015
Vol-1387;;OWL Reasoner Evaluation Workshop 2015;;17-Jul-2015
Vol-1386;;NLP Applications: Completing the Puzzle 2015;;22-Jun-2015
Vol-1385;;Formal Methods in Software Engineering Education and Training 2015;;19-Jun-2015
Vol-1384;;Mining Scientific Papers: Computational Linguistics and Bibliometrics 2015;;17-Jun-2015
Vol-1383;;Industry Track at the International Semantic Web Conference 2014;;15-Jun-2015
Vol-1382;;From Objects to Agents 2015;;15-Jun-2015
Vol-1381;;CAiSE-2015 Industry Track;;15-Jun-2015
Vol-1380;;Large-scale and Model-based Interactive Systems 2015;;08-Jul-2015
Vol-1379;;Journées francophones d'informatique médicale 2014;;21-Jun-2015
Vol-1378;;Alberto Mendelzon Workshop on Foundations of Data Management 2015;;11-Jun-2015
Vol-1377;;Managing the Evolution and Preservation of the Data Web 2015;;10-Jun-2015
Vol-1376;;Linked Data Quality 2015;;19-Jun-2015
Vol-1375;;Software Quality Analysis, Monitoring, Improvement, and Applications 2015;;06-Jun-2015
Vol-1374;;Socio-Technical Perspective in IS Development 2015;;04-Jun-2015
Vol-1373;;Biological Processes & Petri Nets 2015;;19-Jun-2015
Vol-1372;;Petri Nets and Software Engineering 2015;;07-Jul-2015
Vol-1371;;Algorithms & Theories for the Analysis of Event Data 2015;;25-June-2015
Vol-1370;;iStar Teaching Workshop 2015;;29-May-2015
Vol-1369;;Behavior Change Support Systems 2015;;29-May-2015
Vol-1368;;Software Process Education, Training and Professionalism 2015;;31-May-2015
Vol-1367;;CAiSE Forum 2015;;5-Jun-2015
Vol-1366;;Grundlagen von Datenbanken 2015;;20-May-2015
Vol-1365;;Knowledge Discovery and Data Mining Meets Linked Open Data 2015;;19-May-2015
Vol-1364;;Semantic Web for Scientific Heritage 2015;;18-May-2015
Vol-1363;;Detection, Representation and Exploitation of Events in the Semantic Web 2015;;18-May-2015
Vol-1362;;Joint Proceedings of USEWOD and PROFILES 2015;;15-May-2015
Vol-1361;;ESWC Developers Workshop 2015;;14-May-2015
Vol-1360;;Services and their Composition 2015;;13-May-2015
Vol-1359;;Services and Applications over Linked APIs and Data 2015;;13-May-2015
Vol-1358;;Open Badges in Education 2015;;13-May-2015
Vol-1357;;Value-Driven Social Semantics & Collective Intelligence 2013;;10-May-2015
Vol-1356;;ICT in Education, Research and Industrial Applications: Integration, Harmonization and Knowledge Transfer 2015;;12-May-2015
Vol-1355;;Software Engineering Methods in Spreadsheets 2015;;5-May-2015
Vol-1354;;Seminar on Advanced Techniques and Tools for Software Evolution 2014;;2-May-2015
Vol-1353;;Modern AI and Cognitive Science Conference 2015;;27-Apr-2015
Vol-1352;;Personalized Access to Cultural Heritage 2015;;27-Apr-2015
Vol-1351;;Emotion and Sentiment in Social and Expressive Media 2015;;26-Apr-2015
Vol-1350;;Description Logics 2015;;29-May-2015
Vol-1349;;Personalization & Recommender Systems in Financial Services 2015;;18-Apr-2015
Vol-1348;;Midwest Artificial Intelligence and Cognitive Science Conference 2013;;13-Apr-2015
Vol-1347;;Word Knowledge and Word Usage 2015;;10-Apr-2015
Vol-1346;;MODELS Educators Symposium 2014;;04-Apr-2015
Vol-1345;;Gamification for Information Retrieval 2015;;29-Mar-2015
Vol-1344;;Bibliometric-enhanced Information Retrieval 2015;;26-Mar-2015
Vol-1343;;Databases, Texts, Specifications, Objects 2015;;6-May-2015
Vol-1342;;REFSQ Workshops, Research Method Track, and Poster Track 2015;;17-Mar-2015
Vol-1341;;Frontiers and Connections between Argumentation Theory and Natural Language Processing 2014;;14-Mar-2015
Vol-1340;;Combining Modelling with Search- and Example-Based Approaches 2014;;11-Mar-2015
Vol-1339;;International Workshop on Semantic Technologies 2015;;10-Mar-2015
Vol-1338;;Supporting Complex Search Tasks 2015;;28-Mar-2015
Vol-1337;;Software Engineering Workshops 2015;;7-Mar-2015
Vol-1336;;Horizon2020 and Creative Europe vs Digital Heritage: A European Projects Crossover 2014;;03-Mar-2015
Vol-1335;;Logic Programming/Functional and Logic Programming 2014;;26-Feb-2015
Vol-1334;;Doctoral Workshop in Artificial Intelligence 2014;;18-Feb-2015
Vol-1333;;Formal Ontologies meet Industry 2014;;17-Feb-2015
Vol-1332;;Software Engineering im Unterricht der Hochschulen 2015;;24-Feb-2015
Vol-1331;;Models and Evolution 2014;;9-Feb-2015
Vol-1330;;EDBT/ICDT 2015 Workshops;;9-Mar-2015
Vol-1329;;Joint Proceedings of SSA 2014 and SMILE 2014;;02-Feb-2015
Vol-1328;;Geospatial Science Research 2 Symposium 2012;;30-Jan-2015
Vol-1327;;International Conference on Biomedical Ontology 2014;;08-Feb-2015
Vol-1326;;Student Research Forum Papers and Posters at SOFSEM 2015;;15-Jan-2015
Vol-1325;;Verification of Model Transformations 2014;;10-Jan-2015
Vol-1324;;Tactile/Haptic User Interfaces for Tabletops and Tablets 2014;;12-Jan-2015
Vol-1323;;Research@Locate 2015;;07-Mar-2015
Vol-1322;;Environmental Information Systems and Services - Infrastructures and Platforms 2013;;02-Jan-2015
Vol-1321;;Doctoral Symposium at MODELS'14;;10-Jan-2015
Vol-1320;;Semantic Web Applications and Tools for Life Sciences 2014;;24-Dec-2014
Vol-1319;;Model-Driven Robot Software Engineering 2014;;26-Jan-2015
Vol-1318;;Information Management and Big Data 2014;;17-Dec-2014
Vol-1317;;Ontology Matching 2014;;16-Dec-2014
Vol-1316;;Society, Privacy and the Semantic Web - Policy and Technology 2014;;16-Dec-2014
Vol-1315;;Artificial Intelligence and Cognition 2014;;17-Dec-2014
Vol-1314;;Information Filtering and Retrieval 2014;;15-Dec-2014
Vol-1313;;Grundlagen von Datenbanken 2014;;18-Dec-2014
Vol-1312;;Workshop and Poster Proceedings of JIST 2014;;13-Dec-2014
Vol-1311;;Knowledge Maps and Information Retrieval 2014;;12-Dec-2014
Vol-1310;;Surfacing the Deep and the Social Web 2014;;19-Dec-2014
Vol-1309;;Workshops of ICBO 2014: DIKR 2014 / IWOOD 2014 / OBIB 2014;;13-Dec-2014
Vol-1308;;Colloquium on Databases and Information Systems 2014;;11-Dec-2014
Vol-1307;;Geospatial Science Research 2014;;10-Dec-2014
Vol-1306;;Semantic Digital Archives 2014;;18-Dec-2014
Vol-1305;;Transformation Tool Contest 2014;;27-Nov-2014
Vol-1304;;Semantic Technologies for Intelligence, Defense, and Security 2014;;29-Nov-2014
Vol-1303;;Ordering and Reasoning 2014;;26-Nov-2014
Vol-1302;;Workshop on Ontology and Semantic Web Patterns 2014;;24-Nov-2014
Vol-1301;;Ontologies in Conceptual Modeling and Information Systems Engineering 2014;;24-Nov-2014
Vol-1300;;INCOSE Italia Conference on Systems Engineering 2014;;22-Nov-2014
Vol-1299;;Visualizations and User Interfaces for Knowledge Engineering and Linked Data Analytics 2014;;22-Nov-2014
Vol-1298;;ESSoS Doctoral Symposium 2014;;20-Nov-2014
Vol-1297;;Russian Conference on Digital Libraries 2014;;18-Nov-2014
Vol-1296;;Semantic Web for the Law and Second Jurix Doctoral Consortium 2014;;10-Dec-2014
Vol-1295;;BPM Demo Sessions 2014;;17-Nov-2014
Vol-1294;;International Conference on Advanced Aspects of Software Engineering 2014;;16-Nov-2014
Vol-1293;;Data-driven Process Discovery and Analysis 2014;;14-Nov-2014
Vol-1292;;Patent Mining and Its Applications 2014;;14-Nov-2014
Vol-1291;;Embed With Linux 2014;;13-Nov-2014
Vol-1290;;Open Source Software for Model Driven Engineering 2014;;11-Nov-2014
Vol-1289;;Knowledge Engineering and Software Engineering 2014;;6-Nov-2014
Vol-1288;;AIM Serious Games et innovation 2014;;6-Nov-2014
Vol-1287;;Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning 2014;;05-Nov-2014
Vol-1286;;Multi-Level Modelling 2014;;4-Nov-2014
Vol-1285;;OCL and Textual Modeling: Applications and Case Studies 2014;;3-Nov-2014
Vol-1284;;Quality of Information and Communications Technology 2001;;03-Nov-2014
Vol-1283;;European Conference on Social Intelligence 2014;;31-Oct-2014
Vol-1282;;Linked Science 2014;;30-Oct-2014
Vol-1281;;Model-Driven Engineering for Component-Based Software Systems 2014;;30-Oct-2014
Vol-1280;;Semantics for Smarter Cities 2014;;04-Nov-2014
Vol-1279;;Intelligent Exploration of Semantic Data 2014;;29-Oct-2014
Vol-1278;;Decision Making and Recommender Systems 2014;;29-Oct-2014
Vol-1277;;Analysis of Model Transformations 2014;;24-Oct-2014
Vol-1276;;Medical Information Retrieval 2014;;31-Oct-2014
Vol-1275;;Semantic Web Collaborative Spaces 2014;;27-Oct-2014
Vol-1274;;UAI 2014 Workshop on Causal Inference: Learning and Prediction;;29-Oct-2014
Vol-1273;;Geographic Information Observatories 2014;;21-Oct-2014
Vol-1272;;ISWC 2014 Posters & Demonstrations Track;;20-Oct-2014
Vol-1271;;Recommender Systems and the Social Web 2014;;17-Oct-2014
Vol-1270;;Models@run.time 2014;;17-Oct-2014
Vol-1269;;Concurrency, Specification and Programming 2014;;21-Oct-2014
Vol-1268;;ISWC Developers Workshop 2014;;15-Oct-2014
Vol-1267;;Linked Data for Information Extraction 2014;;15-Oct-2014
Vol-1266;;Software Quality Analysis, Monitoring, Improvement, and Applications 2014;;14-Oct-2014
Vol-1265;;OWL: Experiences and Directions Workshop 2014;;12-Oct-2014
Vol-1264;;Consuming Linked Data 2014;;07-Oct-2014
Vol-1263;;Multimedia Benchmark Workshop 2014;;18-Oct-2014
Vol-1262;;Doctoral Consortium at ISWC 2014;;4-Oct-2014
Vol-1261;;Scalable Semantic Web Knowledge Base Systems 2014;;2-Oct-2014
Vol-1260;;Dagli Oggetti agli Agenti 2014;;30-Sep-2014
Vol-1259;;Uncertainty Reasoning for the Semantic Web 2014;;30-Sep-2014
Vol-1258;;Poster Session and ACM SRC of MODELS 2014;;28-Sep-2014
Vol-1257;;What can FCA do for Artificial Intelligence 2014;;06-Oct-2014
Vol-1256;;Verification and Evaluation of Computer and Communication Systems 2014;;29-Sep-2014
Vol-1255;;Demonstrations at MODELS 2014;;24-Sep-2014
Vol-1254;;Linked Learning meets LinkedUp: Learning and Education with the Web of Data 2014;;24-Sep-2014
Vol-1253;;Interfaces and Human Decision Making for Recommender Systems 2014;;23-Sep-2014
Vol-1252;;Concept Lattices and Their Applications 2014;;23-Sep-2014
Vol-1251;;Practical Aspects of Health Informatics 2014;;21-Sep-2014
Vol-1250;;Model-based Architecting and Construction of Embedded Systems 2014;;20-Sep-2014
Vol-1249;;Model-Driven Development Processes and Practices 2014;;19-Sep-2014
Vol-1248;;Workshop on Modular Ontologies 2014;;19-Sep-2014
Vol-1247;;Poster Proceedings of RecSys 2014;;18-Sep-2014
Vol-1246;;Information Logistics and Knowledge Supply 2014;;18-Sep-2014
Vol-1245;;New Trends in Content-based Recommender Systems 2014;;17-Sep-2014
Vol-1244;;Diagrams 2014 Workshops: ED2014 and GViP2014;;17-Sep-2014
Vol-1243;;Knowledge Discovery and Data Mining Meets Linked Open Data 2014;;17-Sep-2014
Vol-1242;;Model-Driven Engineering on and for the Cloud 2014;;16-Sep-2014
Vol-1241;;Eye Tracking for Spatial Research 2014;;15-Sep-2014
Vol-1240;;Joint Proceedings of WaSABi 2014 and FEOSW 2014;;14-Sep-2014
Vol-1239;;Extreme Modeling 2014;;13-Sep-2014
Vol-1238;;Awareness and Reflection in Technology-Enhanced Learning 2014;;15-Sep-2014
Vol-1237;;Multi-Paradigm Modeling 2014;;12-Sep-2014
Vol-1236;;Globalization of Modeling Languages 2014;;10-Sep-2014
Vol-1235;;Model-Driven Engineering, Verification and Validation 2014;;11-Sep-2014
Vol-1234;;CSD&M 2014 Poster Workshop;;12-Sep-2014
Vol-1233;;Architecture Centric Virtual Integration 2014;;10-Sep-2014
Vol-1232;;Linked Data for Knowledge Discovery 2014;;10-Sep-2014
Vol-1231;;Italian Conference on Theoretical Computer Science 2014;;10-Sep-2014
Vol-1230;;Workshop on Ontologies and Information Systems 2014;;12-Sep-2014
Vol-1229;;Dynamic Networks and Knowledge Discovery 2014;;8-Sep-2014
Vol-1228;;Tweet Language Identification Workshop 2014;;08-Sep-2014
Vol-1227;;DeLFI Workshops 2014;;05-Sep-2014
Vol-1226;;LWA 2014 Workshops KDML, IR and FGWM;;03-Sep-2014
Vol-1225;;Privacy-Preserving IR 2014;;15-Sep-2014
Vol-1224;;Posters&Demos@SEMANTiCS 2014;;08-Sep-2014
Vol-1223;;Modeling States, Events, Processes and Scenarios 2013;;03-Sep-2014
Vol-1222;;Environmental Multimedia Retrieval 2014;;04-Sep-2014
Vol-1221;;Turkish National Software Engineering Symposium 2014;;31-Aug-2014
Vol-1220;;Configuration Workshop 2014;;02-Sep-2014
Vol-1219;;Cuban Workshop on Semantic Web 2014;;03-Sep-2014
Vol-1218;;Bayesian Modeling Applications Workshop 2014;;28-Aug-2014
Vol-1217;;Requirements Engineering Education and Training 2014;;15-Aug-2014
Vol-1216;;Requirements Engineering for Sustainable Systems 2014;;25-Aug-2014
Vol-1215;;Linked Data Quality 2014;;30-Oct-2014
Vol-1214;;ITAT 2014 with Selected Papers from Znalosti 2014;;10-Sep-2014
Vol-1213;;Artificial Intelligence and Assistive Medicine 2014;;17-Aug-2014
Vol-1212;;Defeasible and Ampliative Reasoning 2014;;17-Aug-2014
Vol-1211;;Rule Challenge and Doctoral Consortium @ RuleML 2014;;17-Aug-2014
Vol-1210;;Hypertext 2014 Extended Proceedings;;08-Aug-2014
Vol-1209;;Software Engineering Methods in Spreadsheets 2014;;06-Aug-2014
Vol-1208;;Reasoning About Other Minds 2014;;06-Aug-2014
Vol-1207;;OWL Reasoner Evaluation Workshop 2014;;07-Aug-2014
Vol-1206;;Scalability in Model Driven Engineering 2014;;31-Jul-2014
Vol-1205;;Logics for Reasoning about Preferences, Uncertainty, and Vagueness 2014;;30-Jul-2014
Vol-1204;;Semantic Matching in Information Retrieval 2014;;28-Jul-2014
Vol-1203;;Joint Workshop Proceedings of ICT4S 2014;;17-Oct-2014
Vol-1202;;Interactions between Data Mining and Natural Language Processing 2014;;01-Aug-2014
Vol-1201;;Meta-learning and Algorithm Selection 2014;;03-Aug-2014
Vol-1200;;AI Mashup Challenge 2014;;27-Jul-2014
Vol-1199;;V Jornadas TIMM 2014;;28-Jul-2014
Vol-1198;;Social Multimedia and Storytelling 2014;;27-Jul-2014
Vol-1197;;Supplementary Proceedings of AIST 2014;;31-Aug-2014
Vol-1196;;Congreso de la Sociedad Española para las Ciencias del Videojuego 2014;;25-Jul-2014
Vol-1195;;Italian Conference on Computational Logic 2014;;18-Jul-2014
Vol-1194;;VISCERAL Challenge at ISBI 2014;;16-Jul-2014
Vol-1193;;Description Logics 2014;;10-Jul-2014
Vol-1192;;JIST 2013 Workshops: LDPW and PAOS 2013;;07-Jul-2014
Vol-1191;;Social Media and Linked Data for Emergency Response 2013;;07-Jul-2014
Vol-1190;;Engineering Gestures for Multimodal Interfaces 2014;;09-Jul-2014
Vol-1189;;Alberto Mendelzon International Workshop on Foundations of Data Management 2014;;5-Jul-2014
